City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,21.6,63,64,8.73,PN,1714930823
1,badr hunayn,23.7829,38.7905,28.51,32,0,1.52,SA,1714930922
2,cabo san lucas,22.8909,-109.9124,30.9,46,0,1.79,MX,1714930370
3,talnakh,69.4865,88.3972,-13.22,77,29,1.81,RU,1714930928
4,port-aux-francais,-49.35,70.2167,3.77,89,87,3.41,TF,1714930930
5,vernon,50.2581,-119.2691,17.35,43,100,0.51,CA,1714930932
6,krutinka,56.0055,71.5113,1.56,66,42,4.17,RU,1714930934
7,ushuaia,-54.8,-68.3,2.81,75,100,10.29,AR,1714930878
8,waingapu,-9.6567,120.2641,24.69,83,72,2.93,ID,1714930938
9,edinburgh of the seven seas,-37.0676,-12.3116,13.97,67,64,13.06,SH,1714930792
10,ketchikan,55.3422,-131.6461,9.26,93,100,3.6,US,1714930943
11,hithadhoo,-0.6,73.0833,29.51,75,94,3.56,MV,1714930657
12,saudarkrokur,65.7461,-19.6394,8.78,49,100,6.87,IS,1714930648
13,blackmans bay,-43.0167,147.3167,10.07,80,15,2.26,AU,1714930816
14,utrik,11.2278,169.8474,26.89,83,88,6.93,MH,1714930394
15,porto novo,6.4965,2.6036,31.9,75,10,4.93,BJ,1714930953
16,badger,64.8,-147.5333,8.93,53,0,2.06,US,1714930817
17,agat village,13.3886,144.6585,27.52,83,20,4.12,GU,1714930958
18,iskateley,67.6803,53.1512,-7.21,88,76,1.79,RU,1714930959
19,kapuskasing,49.4169,-82.4331,11.0,71,100,6.17,CA,1714930370
20,port mathurin,-19.6833,63.4167,26.12,68,41,9.24,MU,1714930823
21,susuman,62.7833,148.1667,-2.79,86,100,0.89,RU,1714930966
22,kapa'a,22.0752,-159.319,23.44,83,100,10.29,US,1714930968
23,lompoc,34.6391,-120.4579,16.12,62,75,5.14,US,1714930970
24,east ballina,-28.8667,153.5833,16.56,92,35,4.32,AU,1714930972
25,remire-montjoly,4.9167,-52.2667,28.02,83,75,7.72,GF,1714930840
26,palmer,42.1584,-72.3287,12.3,68,100,6.17,US,1714930733
27,amga,60.8953,131.9608,0.53,93,13,1.45,RU,1714930979
28,aksaray,38.3726,34.0254,7.89,79,100,3.29,TR,1714930982
29,grytviken,-54.2811,-36.5092,2.65,97,98,1.9,GS,1714930984
30,rabo de peixe,37.8,-25.5833,18.73,99,20,2.57,PT,1714930986
31,bethel,41.3712,-73.414,10.84,87,100,3.13,US,1714930988
32,udachny,66.4167,112.4,-4.2,88,80,0.61,RU,1714930992
33,longyearbyen,78.2186,15.6401,-3.09,63,75,2.57,SJ,1714930798
34,dudinka,69.4058,86.1778,-12.96,88,71,4.47,RU,1714930847
35,kyzyl,51.7,94.45,17.79,39,89,2.24,RU,1714930998
